# Метеостанция Можайск, Россия, WMO_ID=27509, выборка с 01.02.2019 по 01.04.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27509&lang=ru
#
"Местное время в Можайске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.03.2019 12:00";"13.1";"739.6";"756.0";"";"45";"Ветер, дующий с юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"1.2";"";"";"";"";"";"";
"31.03.2019 09:00";"6.4";"740.4";"757.2";"";"68";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"0.9";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"0.0";"";"";
"31.03.2019 06:00";"2.8";"741.1";"758.2";"";"86";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"2.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.7";"Осадков нет";"12";"";"";"";"";
"31.03.2019 03:00";"3.2";"742.1";"759.2";"";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.9";"";"";"";"";"";"";
"31.03.2019 00:00";"5.0";"742.8";"759.7";"";"79";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.7";"";"";"";"";"";"";
"30.03.2019 21:00";"4.4";"743.2";"760.3";"";"82";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"10.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.5";"Осадков нет";"12";"";"";"";"";
"30.03.2019 18:00";"8.7";"742.4";"759.1";"";"64";"Ветер, дующий с запада";"3";"";"11";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.3";"Осадков нет";"12";"";"";"";"";
"30.03.2019 15:00";"7.7";"742.0";"758.8";"";"68";"Ветер, дующий с запада";"4";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.2";"";"";"";"";"";"";
"30.03.2019 12:00";"6.7";"741.6";"758.4";"";"72";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.0";"";"";"";"";"";"";
"30.03.2019 09:00";"5.0";"741.5";"758.5";"";"85";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.6";"Осадков нет";"12";"";"";"";"";
"30.03.2019 06:00";"4.1";"741.1";"758.1";"";"89";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.4";"Осадков нет";"12";"";"";"";"";
"30.03.2019 03:00";"3.8";"741.2";"758.2";"";"88";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.9";"";"";"";"";"";"";
"30.03.2019 00:00";"1.3";"742.0";"759.3";"";"99";"Ветер, дующий с юго-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.1";"";"";"";"";"";"";
"29.03.2019 21:00";"2.3";"742.6";"759.7";"";"95";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"5.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"1.6";"0.5";"12";"";"";"";"";
"29.03.2019 18:00";"4.7";"743.0";"760.0";"";"80";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.5";"0.5";"12";"";"";"";"";
"29.03.2019 15:00";"4.4";"744.0";"761.0";"";"83";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"1.8";"";"";"";"";"";"";
"29.03.2019 12:00";"2.6";"744.7";"761.8";"";"95";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"1.8";"";"";"";"";"";"";
"29.03.2019 09:00";"1.3";"745.9";"763.2";"";"87";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"-0.7";"Следы осадков";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Менее 0.5";
"29.03.2019 06:00";"-0.5";"746.6";"764.0";"";"75";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"-0.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.4";"Осадков нет";"12";"";"";"";"";
"29.03.2019 03:00";"-0.3";"748.0";"765.4";"";"68";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.5";"";"";"";"";"";"";
"29.03.2019 00:00";"0.2";"748.6";"766.0";"";"63";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.0";"";"";"";"";"";"";
"28.03.2019 21:00";"1.3";"749.3";"766.7";"";"54";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"4.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.0";"Осадков нет";"12";"";"";"";"";
"28.03.2019 18:00";"2.8";"749.2";"766.5";"";"34";"Ветер, дующий с западо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.6";"Осадков нет";"12";"";"";"";"";
"28.03.2019 15:00";"4.1";"749.6";"766.9";"";"31";"Ветер, дующий с западо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-11.5";"";"";"";"";"";"";
"28.03.2019 12:00";"2.0";"750.3";"767.6";"";"44";"Ветер, дующий с северо-запада";"5";"";"11";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-9.1";"";"";"";"";"";"";
"28.03.2019 09:00";"-2.3";"750.4";"768.0";"";"75";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"-4.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-6.1";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Менее 0.5";
"28.03.2019 06:00";"-4.6";"749.1";"766.9";"";"93";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"-4.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.6";"Осадков нет";"12";"";"";"";"";
"28.03.2019 03:00";"-4.1";"748.5";"766.2";"";"91";"Ветер, дующий с западо-северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-5.3";"";"";"";"";"";"";
"28.03.2019 00:00";"-3.1";"748.0";"765.7";"";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.0";"";"";"";"";"";"";
"27.03.2019 21:00";"-2.6";"747.4";"765.0";"";"81";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"2.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.5";"Осадков нет";"12";"";"";"";"";
"27.03.2019 18:00";"0.0";"745.9";"763.3";"";"70";"Ветер, дующий с западо-северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-4.9";"Осадков нет";"12";"";"";"";"";
"27.03.2019 15:00";"0.4";"745.0";"762.4";"";"61";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"27.03.2019 12:00";"1.1";"743.6";"760.9";"";"61";"Ветер, дующий с западо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-5.6";"";"";"";"";"";"";
"27.03.2019 09:00";"-1.4";"742.7";"760.1";"";"70";"Ветер, дующий с западо-северо-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"-7.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-6.2";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"1.0";
"27.03.2019 06:00";"-6.1";"741.5";"759.2";"";"90";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-6.1";"";"";"";"";"";"";"10.0";"-7.5";"Следы осадков";"12";"";"";"";"";
"27.03.2019 03:00";"-5.4";"740.6";"758.2";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.1";"";"";"";"";"";"";
"27.03.2019 00:00";"-3.6";"740.2";"757.6";"";"82";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.2";"";"";"";"";"";"";
"26.03.2019 21:00";"-1.5";"739.0";"756.4";"";"91";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"6.2";"";"";"";"";"";"10.0";"-2.8";"0.7";"12";"";"";"";"";
"26.03.2019 18:00";"0.5";"737.6";"754.8";"";"96";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-0.1";"0.7";"12";"";"";"";"";
"26.03.2019 15:00";"3.4";"736.7";"753.7";"";"69";"Ветер, дующий с северо-запада";"4";"";"10";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.8";"";"";"";"";"";"";
"26.03.2019 12:00";"5.3";"735.7";"752.5";"";"51";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-4.1";"";"";"";"";"";"";
"26.03.2019 09:00";"0.9";"735.9";"753.0";"";"59";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"-2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-6.3";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"1.0";
"26.03.2019 06:00";"-1.3";"735.9";"753.1";"";"62";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"-2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-7.7";"Осадков нет";"12";"";"";"";"";
"26.03.2019 03:00";"-1.4";"736.7";"754.0";"";"65";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-7.3";"";"";"";"";"";"";
"26.03.2019 00:00";"-0.3";"737.6";"754.8";"";"60";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-7.2";"";"";"";"";"";"";
"25.03.2019 21:00";"0.5";"737.9";"755.1";"";"63";"Ветер, дующий с юга";"2";"";"";"50%.";" ";"";"";"";"7.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-5.9";"Осадков нет";"12";"";"";"";"";
"25.03.2019 18:00";"6.3";"737.7";"754.5";"";"39";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-6.6";"Осадков нет";"12";"";"";"";"";
"25.03.2019 15:00";"7.3";"738.0";"754.7";"";"44";"Ветер, дующий с западо-северо-запада";"4";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-4.3";"";"";"";"";"";"";
"25.03.2019 12:00";"6.0";"738.4";"755.3";"";"41";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
